ect_x,tech,reporter,year,ect_m
-10.8028505652229,PRIM,Greece,2015,-3.44890794447424
-10.801023838001,MED,Spain,2000,-6.16232527756642
-10.7996102192745,LOW,France,2011,-11.6557044108008
-10.7961022551791,LOW,France,2005,-11.6922669580357
-10.7913537290931,LOW,France,2006,-11.6698165043349
-10.789916111737,LOW,France,2007,-11.6722934712615
-10.7874980255584,PRIM,Greece,2016,-3.37050579222039
-10.7808861057017,PRIM,Greece,2008,-3.51038771908798
-10.7800891623813,PRIM,Greece,2018,-3.28662565961559
-10.7771776507825,LOW,France,2002,-11.6690419674012
-10.7771758634645,MED,Spain,2010,-6.32679750344195
-10.776643397883,LOW,France,2003,-11.676356092318
-10.7713917536424,LOW,Greece,1999,-2.65890542013128
-10.7704891782535,LOW,Greece,1998,-2.77857484938448
-10.7687188084439,LOW,France,2001,-11.6463338982463
-10.7666746152343,MED,Spain,2001,-6.15892656191337
-10.7648081156144,LOW,France,2012,-11.6500372173366
-10.7637572433648,MED,Spain,2003,-6.19968309772771
-10.761799062394,MED,Spain,2002,-6.18942378577158
-10.7568370676898,MED,Spain,2007,-6.13704396555561
-10.7526137728199,MED,Spain,2006,-6.14677237524347
-10.7505342014031,PRIM,Greece,2009,-3.49243845015621
-10.7453132536414,MED,Spain,2004,-6.19167919434594
-10.7427960386005,MED,Spain,2009,-6.19066797587851
-10.7421600532403,MED,Spain,2005,-6.15231977180412
-10.7329237543297,MED,Spain,2011,-6.269457218548
-10.7306679365297,MED,Spain,2008,-6.11881469175825
-10.7295555806915,LOW,France,2018,-11.5945920413302
-10.7250304927676,LOW,France,2017,-11.5851441890201
-10.7243634264188,LOW,France,2013,-11.6553974878763
-10.7196423690457,PRIM,Greece,2019,-3.23254062591514
-10.7164902305684,LOW,France,2019,-11.6077703293629
-10.7069616364375,LOW,France,2015,-11.6196106590853
-10.7050043029539,LOW,France,2014,-11.6450303797912
-10.704310633511,LOW,France,2016,-11.5883605697001
-10.6894360789514,HIGH,Italy,2010,6.68829752761969
-10.6856224135871,MED,Spain,2012,-6.26130637560229
