ect_x,tech,reporter,year,ect_m
-14.1315843080585,MED,Portugal,2011,-3.24962164088978
-14.1267762736258,PRIM,France,1994,-3.6311695211443
-14.1053685615657,MED,Portugal,2009,-3.19268850489686
-14.0959563846505,PRIM,France,1995,-3.58030795943499
-14.084467830699,PRIM,France,1996,-3.60066318920293
-14.0810640175314,PRIM,France,2009,-3.69712121409839
-14.0156300022559,PRIM,France,2011,-3.62271849144972
-14.0147476110289,MED,Portugal,1993,-3.329223266353
-14.0133524552982,MED,Portugal,1994,-3.29457859405833
-14.0087348370852,PRIM,France,2008,-3.48245319434246
-14.0063099307138,PRIM,France,1997,-3.61957096351006
-14.003301676979,PRIM,France,2007,-3.50620692652794
-13.9968698621618,PRIM,France,2010,-3.45573605697685
-13.9810502159067,PRIM,France,2003,-3.55481838559636
-13.9789794111734,PRIM,France,1999,-3.60007549039923
